Name;Upgrades;AP;DP
Primordial Artina Sol;0;131-142;0
Sovereign Aad Sphera;0;131-142;0
Sovereign Celestial Bo Staff;0;131-142;0
Sovereign Cestus;0;131-142;0
Sovereign Crescent Blade;0;131-142;0
Sovereign Crimson Glaives;0;131-142;0
Sovereign Dual Glaives;0;131-142;0
Sovereign Enlightened Blade;0;131-142;0
Sovereign Foxtail Fans;0;131-142;0
Sovereign Gradbrace;0;131-142;0
Sovereign Godr Sphera;0;131-142;0
Sovereign Greatbow;0;131-142;0
Sovereign Greatsword;0;131-142;0
Sovereign Iron Buster;0;131-142;0
Sovereign Jordun;0;131-142;0
Sovereign Kamasylven Sword;0;131-142;0
Sovereign Kerispear;0;131-142;0
Sovereign Kibelius;0;131-142;0
Sovereign Lancia;0;131-142;0
Sovereign Lil' Devil;0;131-142;0
Sovereign Patraca;0;131-142;0
Sovereign Sah Chakram;0;131-142;0
Sovereign Scythe;0;131-142;0
Sovereign Sledgehammer;0;131-142;0
Sovereign Soul Tome;0;131-142;0
Sovereign Sting;0;131-142;0
Sovereign Sura Katana;0;131-142;0
Sovereign Trion;0;131-142;0
Sovereign Verdiant;0;131-142;0
Primordial Artina Sol;1;132-143;0
Sovereign Aad Sphera;1;132-143;0
Sovereign Celestial Bo Staff;1;132-143;0
Sovereign Cestus;1;132-143;0
Sovereign Crescent Blade;1;132-143;0
Sovereign Crimson Glaives;1;132-143;0
Sovereign Dual Glaives;1;132-143;0
Sovereign Enlightened Blade;1;132-143;0
Sovereign Foxtail Fans;1;132-143;0
Sovereign Gradbrace;1;132-143;0
Sovereign Godr Sphera;1;132-143;0
Sovereign Greatbow;1;132-143;0
Sovereign Greatsword;1;132-143;0
Sovereign Iron Buster;1;132-143;0
Sovereign Jordun;1;132-143;0
Sovereign Kamasylven Sword;1;132-143;0
Sovereign Kerispear;1;132-143;0
Sovereign Kibelius;1;132-143;0
Sovereign Lancia;1;132-143;0
Sovereign Lil' Devil;1;132-143;0
Sovereign Patraca;1;132-143;0
Sovereign Sah Chakram;1;132-143;0
Sovereign Scythe;1;132-143;0
Sovereign Sledgehammer;1;132-143;0
Sovereign Soul Tome;1;132-143;0
Sovereign Sting;1;132-143;0
Sovereign Sura Katana;1;132-143;0
Sovereign Trion;1;132-143;0
Sovereign Verdiant;1;132-143;0
Primordial Artina Sol;2;133-144;0
